concept_name,concept_title,category,unit,min_value,max_value,description,omop_id,source,table_name,sub_var,val_var,unit_var,index_var,method,match_value,class,dict,typ,ref,clean,conversion,ricu,blended
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,aumc,numericitems,itemid,,,,itemid,6801|9937,itm_itm,,ts,ricu,0,none,,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,albumin,rgx_itm,,ts,ricu,0,none,check,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,hirid,observations,variableid,,,,itemid,24000605,hrd_itm,,ts,ricu,0,none,,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50862,itm_itm,d_labitems,ts,ricu,0,none,check,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,miiv_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50862,itm_itm,d_labitems,ts,ricu,0,none,check,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,sic,laboratory,LaboratoryID,,,,itemid,287,itm_itm,,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,aumc,numericitems,itemid,,,,itemid,6803|11984,itm_itm,,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,alkaline phos.,NA,,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,hirid,observations,variableid,,,,itemid,20002700,hrd_itm,,ts,ricu,0,none,,
alb,Albumin,chemistry,g/dL,0,6,albumin,4017497,miii_demo_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50862,itm_itm,d_labitems,ts,ricu,0,none,check,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,miiv_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50863,itm_itm,d_labitems,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,sic,laboratory,LaboratoryID,,,,itemid,609,itm_itm,,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,aumc,numericitems,itemid,,,,itemid,6800|11978,itm_itm,,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,ALT (SGPT),NA,,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,hirid,observations,variableid,,,,itemid,20002600,hrd_itm,,ts,ricu,0,none,,
alp,Alkaline Phosphatase,chemistry,IU/L,0,NA,alkaline phosphatase,4275206,miii_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50863,itm_itm,d_labitems,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,miiv_coh,labevents,itemid,valuenum,valueuom,charttime,itemid,50861,itm_itm,d_labitems,ts,ricu,0,none,,
alt,Alanine Aminotransferase,chemistry,IU/L,0,NA,alanine aminotransferase,4146380,sic,laboratory,LaboratoryID,,,,itemid,617,itm_itm,,ts,ricu,0,none,,
ast,Aspartate Aminotransferase,chemistry,IU/L,0,NA,aspartate aminotransferase,4263457,aumc,numericitems,itemid,,,,itemid,6806|11990,itm_itm,,ts,ricu,0,none,,
ast,Aspartate Aminotransferase,chemistry,IU/L,0,NA,aspartate aminotransferase,4263457,eicu_coh,lab,labname,labresult,labmeasurenameinterface,labresultrevisedoffset,regex,AST (SGOT),NA,,ts,ricu,0,none,,
ast,Aspartate Aminotransferase,chemistry,IU/L,0,NA,aspartate aminotransferase,4263457,hirid,observations,variableid,,,,itemid,24000330,hrd_itm,,ts,ricu,0,none,,
