"concept_name","category","unit","min_value","max_value","description","omop_id","source","table_name","sub_var","val_var","unit_var","index_var","class","check","match_value","method","conversion","reference","typ","clip_rule","dict"
"hr","vitals","bpm",0,300,"heart rate",4239408,"numericitems","numericitems","itemid",NA,NA,NA,"rgx_itm",NA,"6640","id","none","ricu","ts",0,NA
"hr","vitals","bpm",0,300,"heart rate",4239408,"eicu_coh","vitalperiodic",NA,"heartrate",NA,"observationoffset","col_itm",NA,NA,NA,"none","ricu","ts",0,NA
"hr","vitals","bpm",0,300,"heart rate",4239408,"eicu_demo_coh","vitalperiodic",NA,"heartrate",NA,"observationoffset","col_itm",NA,NA,NA,"none","ricu","ts",0,NA
"hr","vitals","bpm",0,300,"heart rate",4239408,"observations","observations","variableid",NA,NA,NA,"rgx_itm",NA,"200","id","none","ricu","ts",0,NA
"hr","vitals","bpm",0,300,"heart rate",4239408,"chartevents","chartevents","itemid","value","valueuom","charttime","itm_itm",NA,"220045","id","none","ricu","ts",0,"d_items"
"hr","vitals","bpm",0,300,"heart rate",4239408,"mimic_coh","chartevents","itemid","value","valueuom","charttime","itm_itm",NA,"211|220045","id","none","ricu","ts",0,"d_items"
"hr","vitals","bpm",0,300,"heart rate",4239408,"mimic_demo_coh","chartevents","itemid","value","valueuom","charttime","itm_itm",NA,"211|220045","id","none","ricu","ts",0,"d_items"
"hr","vitals","bpm",0,300,"heart rate",4239408,"data_float_h","data_float_h","DataID",NA,NA,NA,"rgx_itm",NA,"708","id","none","ricu","ts",0,NA
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"numericitems","numericitems","itemid",NA,NA,NA,"rgx_itm",NA,"6641","id","none","ricu","ts",0,NA
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"eicu_coh","vitalperiodic",NA,"systemicsystolic",NA,"observationoffset","col_itm",NA,NA,NA,"none","ricu","ts",0,NA
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"eicu_demo_coh","vitalperiodic",NA,"systemicsystolic",NA,"observationoffset","col_itm",NA,NA,NA,"none","ricu","ts",0,NA
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"observations","observations","variableid",NA,NA,NA,"rgx_itm",NA,"100","id","none","ricu","ts",0,NA
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"chartevents","chartevents","itemid","value","valueuom","charttime","itm_itm",NA,"220050|220179","id","none","ricu","ts",0,"d_items"
"sbp","vitals","mmHg",0,300,"systolic blood pressure",4152194,"mimic_coh","chartevents","itemid","value","valueuom","charttime","itm_itm",NA,"51|455|6701|220050|220179","id","none","ricu","ts",0,"d_items"
